Name,Level,Zone,Location,Type,NPC
Rocks from Rak'tika,74,The Crystarium,The Baldaquin,Mining,Eirikur
The Magic of Mining,76,The Crystarium,The Baldaquin,Mining,Eirikur
Jewelry Is Forever,76,The Crystarium,The Baldaquin,Mining,Eirikur
Road to Recovery,76,The Crystarium,The Baldaquin,Mining,Eirikur
Lakeland's Legacy,78,The Crystarium,The Baldaquin,Mining,Eirikur
Crystal Meds,78,The Crystarium,The Baldaquin,Mining,Eirikur
Back Stronger,78,The Crystarium,The Baldaquin,Mining,Eirikur
Snipped for Spirituality,50,Ishgard,Foundation,Fishing (Large-scale),Eloin
Lurchin' from Urchins,50,Ishgard,Foundation,Fishing (Large-scale),Eloin
A Whole Lot of Nope,50,Ishgard,Foundation,Fishing (Large-scale),Eloin
Valuing the Vintage,52,Ishgard,Foundation,Fishing (Large-scale),Eloin
Eating Like the Natives,52,Ishgard,Foundation,Fishing (Large-scale),Eloin
Prayer and Prejudice,52,Ishgard,Foundation,Fishing (Large-scale),Eloin
Send a Feeling to My Spine,54,Ishgard,Foundation,Fishing (Large-scale),Eloin
A Win-win Situation,54,Ishgard,Foundation,Fishing (Large-scale),Eloin
Blue of Sky and Sea,54,Ishgard,Foundation,Fishing (Large-scale),Eloin
Plus One or Two or Three,56,Ishgard,Foundation,Fishing (Large-scale),Eloin
Sucking on Face,56,Ishgard,Foundation,Fishing (Large-scale),Eloin
Hundred Fins for a Hundred Wings,56,Ishgard,Foundation,Fishing (Large-scale),Eloin
"What Does Not Break Us, Devours Us",58,Ishgard,Foundation,Fishing (Large-scale),Eloin
Angling for Ailments,58,Ishgard,Foundation,Fishing (Large-scale),Eloin
Unleash the Hydro Cannons,58,Ishgard,Foundation,Fishing (Large-scale),Eloin
A Kelping Hand,1,Lower La Noscea,Red Rooster Stead,Fishing,Wyrkholsk
Poor Boys Eat Well,1,Lower La Noscea,Red Rooster Stead,Fishing,Wyrkholsk
Adventurers' Relish,1,Lower La Noscea,Red Rooster Stead,Fishing,Wyrkholsk
Soup to Guts,1,Lower La Noscea,Red Rooster Stead,Fishing,Wyrkholsk
Cloud Cutlet,5,Lower La Noscea,Red Rooster Stead,Fishing,Wyrkholsk
Splendor in the Glass,5,Lower La Noscea,Red Rooster Stead,Fishing,Wyrkholsk
They Taste Just as Pretty,5,Lower La Noscea,Red Rooster Stead,Fishing,Wyrkholsk
Yummy in the Tummy,5,Lower La Noscea,Red Rooster Stead,Fishing,Wyrkholsk
The Fertile Incandescent,10,Western La Noscea,Swiftperch,Fishing,Swygskyf
Fish by Many Other Names,10,Western La Noscea,Swiftperch,Fishing,Swygskyf
Just Add Water,10,Western La Noscea,Swiftperch,Fishing,Swygskyf
Brain Candy,10,Western La Noscea,Swiftperch,Fishing,Swygskyf
My Own Private Shell,15,Western La Noscea,Aleport,Fishing,Orwen
The Deepest Cut,15,Western La Noscea,Aleport,Fishing,Orwen
Crab Life by the Horns,15,Western La Noscea,Aleport,Fishing,Orwen
The Moral of the Coral,15,Western La Noscea,Aleport,Fishing,Orwen
Sounds Fishy to Me,20,South Shroud,Quarrymill,Fishing,Nyell
The Long and the Shortcrust,20,South Shroud,Quarrymill,Fishing,Nyell
Food Chain Reaction,20,South Shroud,Quarrymill,Fishing,Nyell
Blind Ambition,20,South Shroud,Quarrymill,Fishing,Nyell
A Shocking Soiree,25,South Shroud,Quarrymill,Fishing,Nyell
A Watery Web of Lies,25,South Shroud,Quarrymill,Fishing,Nyell
Fishing 101,25,South Shroud,Quarrymill,Fishing,Nyell
The Truth Will Set You Free,25,South Shroud,Quarrymill,Fishing,Nyell
A Recipe for Disaster,30,Eastern La Noscea,Costa del Sol,Fishing,Nahctahr
The Blue Period,30,Eastern La Noscea,Costa del Sol,Fishing,Nahctahr
Just Call Me Late for Dinner,30,Eastern La Noscea,Costa del Sol,Fishing,Nahctahr
Kitchen Nightmares No More,30,Eastern La Noscea,Costa del Sol,Fishing,Nahctahr
Gathering Light,35,Coerthas Central Highlands,Observatorium,Fishing,Cimeaurant
Hands Off Our Fish,35,Coerthas Central Highlands,Observatorium,Fishing,Cimeaurant
The Perks of Politics,35,Coerthas Central Highlands,Observatorium,Fishing,Cimeaurant
Fry Me a River,35,Coerthas Central Highlands,Observatorium,Fishing,Cimeaurant
Rationally Speaking,40,Coerthas Central Highlands,Whitebrim Front,Fishing,Voilinaut
Make a Fish,40,Coerthas Central Highlands,Whitebrim Front,Fishing,Voilinaut
Empire Builder,40,Coerthas Central Highlands,Whitebrim Front,Fishing,Voilinaut
Laird of the Lakes,40,Coerthas Central Highlands,Whitebrim Front,Fishing,Voilinaut
Sleeper Creeper,45,Mor Dhona,Saint Coinach's Find,Fishing,K'leytai
Awash in Evidence,45,Mor Dhona,Saint Coinach's Find,Fishing,K'leytai
Snail Fail,45,Mor Dhona,Saint Coinach's Find,Fishing,K'leytai
Putting the Zap on Nature,45,Mor Dhona,Saint Coinach's Find,Fishing,K'leytai
The Voice of the Fury,50,Ishgard,Foundation,Fishing,Eloin
"Please Halone, Tell Me I'm Still Asleep",50,Ishgard,Foundation,Fishing,Eloin
Dine or Spine,50,Ishgard,Foundation,Fishing,Eloin
Loose Lips Heal (Broken) Hips,52,Ishgard,Foundation,Fishing,Eloin
Fish Oils and Forgotten Spoils,52,Ishgard,Foundation,Fishing,Eloin
"Bounty of Sky, Bounty of Earth",52,Ishgard,Foundation,Fishing,Eloin
The Aquariums of Ishgard,54,Ishgard,Foundation,Fishing,Eloin
Analysis of Paralysis,54,Ishgard,Foundation,Fishing,Eloin
Bearing of the Blue,54,Ishgard,Foundation,Fishing,Eloin
Dining with Dravanians,56,Ishgard,Foundation,Fishing,Eloin
Pipira Pirouette,56,Ishgard,Foundation,Fishing,Eloin
Solo Out the Bolo,56,Ishgard,Foundation,Fishing,Eloin
Spew Forth and Spawn,58,Ishgard,Foundation,Fishing,Eloin
Warmer than Wine,58,Ishgard,Foundation,Fishing,Eloin
They Call It the Kissing Disease,58,Ishgard,Foundation,Fishing,Eloin
There Can Only Be One,60,Kugane,Kugane,Fishing,Keltraeng
If A Leaf Falls In The Water,60,Kugane,Kugane,Fishing,Keltraeng
"Slow Wash, Rapids Jumper",60,Kugane,Kugane,Fishing,Keltraeng
Perhaps Not-So-Common,62,Kugane,Kugane,Fishing,Keltraeng
In A Pickle,62,Kugane,Kugane,Fishing,Keltraeng
Lighter Wallets,62,Kugane,Kugane,Fishing,Keltraeng
Marooned Minnow,64,Kugane,Kugane,Fishing,Keltraeng
Catfish Scheme,64,Kugane,Kugane,Fishing,Keltraeng
Curtains For Pleco,64,Kugane,Kugane,Fishing,Keltraeng
Unbeliebubble,66,Kugane,Kugane,Fishing,Keltraeng
Step By Steppe,66,Kugane,Kugane,Fishing,Keltraeng
Peculiar De-Light,66,Kugane,Kugane,Fishing,Keltraeng
Pre-Octopied,68,Kugane,Kugane,Fishing,Keltraeng
Blood In The Water,68,Kugane,Kugane,Fishing,Keltraeng
To The Teeth,68,Kugane,Kugane,Fishing,Keltraeng
Needs More Egg,70,The Crystarium,The Baldaquin,Fishing,Eirikur
Eco-Warrior of Light,70,The Crystarium,The Baldaquin,Fishing,Eirikur
The Source of the Problem,70,The Crystarium,The Baldaquin,Fishing,Eirikur
Jelly Salad,72,The Crystarium,The Baldaquin,Fishing,Eirikur
Aetherquake,72,The Crystarium,The Baldaquin,Fishing,Eirikur
Full of Fish,72,The Crystarium,The Baldaquin,Fishing,Eirikur
The Bride Aquatic,74,The Crystarium,The Baldaquin,Fishing,Eirikur
Faerie Fish,74,The Crystarium,The Baldaquin,Fishing,Eirikur
A Cherry-red Herring,74,The Crystarium,The Baldaquin,Fishing,Eirikur
Crab Corps,76,The Crystarium,The Baldaquin,Fishing,Eirikur
Fish for Days,76,The Crystarium,The Baldaquin,Fishing,Eirikur
Magic Mushrooms,76,The Crystarium,The Baldaquin,Fishing,Eirikur
Deep-sea Diving,78,The Crystarium,The Baldaquin,Fishing,Eirikur
Short-term Gains,78,The Crystarium,The Baldaquin,Fishing,Eirikur
A Feast for the Senses,78,The Crystarium,The Baldaquin,Fishing,Eirikur
Secondhand Smoke Screen,50,Coerthas Western Highlands,Falcon's Nest,Botany (Large-scale),Eloin
A Crown for Every Head,50,Coerthas Western Highlands,Falcon's Nest,Botany (Large-scale),Eloin
No Rest for the Thicket,50,Coerthas Western Highlands,Falcon's Nest,Botany (Large-scale),Eloin
Coat the Harm,52,The Dravanian Forelands,Tailfeather,Botany (Large-scale),Eloin
The Sour Patch Grids,52,The Dravanian Forelands,Tailfeather,Botany (Large-scale),Eloin
Hot Tub Clime Machine,52,The Dravanian Forelands,Tailfeather,Botany (Large-scale),Eloin
Exotic Remedies,54,The Churning Mists,Moghome,Botany (Large-scale),Eloin
Hybrid Theories,54,The Churning Mists,Moghome,Botany (Large-scale),Eloin
Sacrilege Neutralized,54,The Churning Mists,Moghome,Botany (Large-scale),Eloin
These Colors Run Not,56,The Sea of Clouds,Camp Cloudtop,Botany (Large-scale),Eloin
Nectar of the Goddess,56,The Sea of Clouds,Camp Cloudtop,Botany (Large-scale),Eloin
Putting on Airs,56,The Sea of Clouds,Camp Cloudtop,Botany (Large-scale),Eloin
Mending Wings,58,The Dravanian Hinterlands,The Paths of Creation,Botany (Large-scale),Eloin
Blending In,58,The Dravanian Hinterlands,The Paths of Creation,Botany (Large-scale),Eloin
Thank You for Smoke Screening,58,The Dravanian Hinterlands,The Paths of Creation,Botany (Large-scale),Eloin
Waking Wood,1,Central Shroud,The Bannock,Botany,Muriaule
East Bank Story,1,Central Shroud,The Bannock,Botany,Muriaule
We Couldn't Start The Fire,1,Central Shroud,The Bannock,Botany,Muriaule
Lovely Latex,1,Central Shroud,The Bannock,Botany,Muriaule
"No Bark, All Bite",5,Central Shroud,The Bannock,Botany,Muriaule
Let the Sun Shine In,5,Central Shroud,The Bannock,Botany,Muriaule
Evil Seeds,5,Central Shroud,The Bannock,Botany,Muriaule
If a Tree Falls,5,Central Shroud,The Bannock,Botany,Muriaule
West Bank Story,10,Central Shroud,Bentbranch Meadows,Botany,Tierney
A Chest of Nuts,10,Central Shroud,Bentbranch Meadows,Botany,Tierney
The Heart of the Hedge,10,Central Shroud,Bentbranch Meadows,Botany,Tierney
Digging Deep,10,Central Shroud,Bentbranch Meadows,Botany,Tierney
Maple Stories,15,East Shroud,The Hawthorne Hut,Botany,Qina Lyehga
Never Strikes Twice,15,East Shroud,The Hawthorne Hut,Botany,Qina Lyehga
The Quick and the Dead,15,East Shroud,The Hawthorne Hut,Botany,Qina Lyehga
Briar in the Hole,15,East Shroud,The Hawthorne Hut,Botany,Qina Lyehga
"Shaken, Not Stirred",20,South Shroud,Quarrymill,Botany,Nyell
"Just the Artifacts, Madam",20,South Shroud,Quarrymill,Botany,Nyell
Nowhere to Slide,20,South Shroud,Quarrymill,Botany,Nyell
Fueling the Flames,20,South Shroud,Quarrymill,Botany,Nyell
Moon in Rouge,25,South Shroud,Quarrymill,Botany,Nyell
Over the Underbrush,25,South Shroud,Quarrymill,Botany,Nyell
Mushroom Gobblin',25,South Shroud,Quarrymill,Botany,Nyell
Appleanche,25,South Shroud,Quarrymill,Botany,Nyell
Always Right,30,Eastern La Noscea,Costa del Sol,Botany,Nahctahr
Nature Calls,30,Eastern La Noscea,Costa del Sol,Botany,Nahctahr
The Palm in Your Hand,30,Eastern La Noscea,Costa del Sol,Botany,Nahctahr
Bleeding Them Dry,30,Eastern La Noscea,Costa del Sol,Botany,Nahctahr
Spear of Heaven,35,Coerthas Central Highlands,Observatorium,Botany,Cimeaurant
Salad Days,35,Coerthas Central Highlands,Observatorium,Botany,Cimeaurant
A Stash of Herbs,35,Coerthas Central Highlands,Observatorium,Botany,Cimeaurant
Catch My Drift,35,Coerthas Central Highlands,Observatorium,Botany,Cimeaurant
Sign of the Crimes,40,Coerthas Central Highlands,Whitebrim Front,Botany,Voilinaut
Straight and Arrow,40,Coerthas Central Highlands,Whitebrim Front,Botany,Voilinaut
Plague on Both Our Forests,40,Coerthas Central Highlands,Whitebrim Front,Botany,Voilinaut
This Old Fort,40,Coerthas Central Highlands,Whitebrim Front,Botany,Voilinaut
See How They Shine,45,Mor Dhona,Saint Coinach's Find,Botany,K'leytai
Caught in the Long Grass,45,Mor Dhona,Saint Coinach's Find,Botany,K'leytai
Topsy-turvy Time,45,Mor Dhona,Saint Coinach's Find,Botany,K'leytai
"Wonders Don't Cease, They're Discontinued",45,Mor Dhona,Saint Coinach's Find,Botany,K'leytai
Warm in Their Beds,50,Coerthas Western Highlands,Falcon's Nest,Botany,Eloin
Breathe Deeply,50,Coerthas Western Highlands,Falcon's Nest,Botany,Eloin
Does This Look Infected?,50,Coerthas Western Highlands,Falcon's Nest,Botany,Eloin
Six Hours in a Leaky Boat,52,The Dravanian Forelands,Tailfeather,Botany,Eloin
"The Bitter, the Better",52,The Dravanian Forelands,Tailfeather,Botany,Eloin
Ladies and Gentians,52,The Dravanian Forelands,Tailfeather,Botany,Eloin
Chewed Up and Snuffed Out,54,The Churning Mists,Moghome,Botany,Eloin
Dandelion Don't Tell No Lies,54,The Churning Mists,Moghome,Botany,Eloin
Your Mother Is Medicine and Your Father Is the Wild,54,The Churning Mists,Moghome,Botany,Eloin
Heart to Heart,56,The Sea of Clouds,Camp Cloudtop,Botany,Eloin
Bold and Blue,56,The Sea of Clouds,Camp Cloudtop,Botany,Eloin
The Anointing of the Dead,56,The Sea of Clouds,Camp Cloudtop,Botany,Eloin
Watching the Western Wall,58,The Dravanian Hinterlands,The Paths of Creation,Botany,Eloin
"A Taste of Their Own Medicine ",58,The Dravanian Hinterlands,The Paths of Creation,Botany,Eloin
Bleeding Out,58,The Dravanian Hinterlands,The Paths of Creation,Botany,Eloin
Rhalgr Wood Too,60,The Fringes,The Striped Hills,Botany,Keltraeng
Barking Up The Right Tree,60,The Fringes,The Velodyna River,Botany,Keltraeng
Thank Heavenspillar,60,The Fringes,East End,Botany,Keltraeng
Coral-lation,62,The Ruby Sea,East Othard Coastline,Botany,Keltraeng
Penned Up Frustration,62,The Ruby Sea,Rasen Kaikyo,Botany,Keltraeng
Pining,62,The Ruby Sea,Rasen Kaikyo,Botany,Keltraeng
Bamboozled,64,Yanxia,Castrum Fluminis,Botany,Keltraeng
Flowers For Algae Run,64,Yanxia,Kusakari,Botany,Keltraeng
Timbr,64,Yanxia,The Gensui Chain,Botany,Keltraeng
Craic of Dawn,66,The Azim Steppe,The Sea of Blades,Botany,Keltraeng
Hypocritic Oath,66,The Azim Steppe,Nhaama's Retreat,Botany,Keltraeng
Leaves Much To Be Desired,66,The Azim Steppe,Nhaama's Retreat,Botany,Keltraeng
Nunh the Wiser,68,The Peaks,Wightrock,Botany,Keltraeng
Garden Variety,68,The Peaks,Mount Yorn,Botany,Keltraeng
Last of the Mhigans,68,The Peaks,Wightrock,Botany,Keltraeng
Sought-after Spices,70,The Crystarium,The Baldaquin,Botany,Eirikur
Home Is Where the Heart Is,70,The Crystarium,The Baldaquin,Botany,Eirikur
Medicinal Herbs,70,The Crystarium,The Baldaquin,Botany,Eirikur
Home Is Where the Heart Isn't,72,The Crystarium,The Baldaquin,Botany,Eirikur
Packs a Punch,72,The Crystarium,The Baldaquin,Botany,Eirikur
Seeds for the Sick,72,The Crystarium,The Baldaquin,Botany,Eirikur
Pest Problems,74,The Crystarium,The Baldaquin,Botany,Eirikur
Fresh off the Boat,74,The Crystarium,The Baldaquin,Botany,Eirikur
Dream a Little Dream,74,The Crystarium,The Baldaquin,Botany,Eirikur
The Only Cure,76,The Crystarium,The Baldaquin,Botany,Eirikur
Culinary Concepts,76,The Crystarium,The Baldaquin,Botany,Eirikur
Spiritual Ventures,76,The Crystarium,The Baldaquin,Botany,Eirikur
Good Business,78,The Crystarium,The Baldaquin,Botany,Eirikur
The Sweetest Syrup,78,The Crystarium,The Baldaquin,Botany,Eirikur
Big Business,78,The Crystarium,The Baldaquin,Botany,Eirikur
