Name,Level,Zone,Location,Type,NPC
At the Gates,10,Western La Noscea,Swiftperch,Battlecraft,Swygskyf
Fresh Meat,10,Western La Noscea,Swiftperch,Battlecraft,Swygskyf
Grabbing Crabs,10,Western La Noscea,Swiftperch,Battlecraft,Swygskyf
Jackal and the Livestock,10,Western La Noscea,Swiftperch,Battlecraft,Swygskyf
No Egg to Stand On,10,Western La Noscea,Swiftperch,Battlecraft,Swygskyf
Shock Therapy,10,Western La Noscea,Swiftperch,Battlecraft,Swygskyf
The Sprite of Competition,10,Western La Noscea,Swiftperch,Battlecraft,Swygskyf
Beak to Beak,10,Western Thanalan,Horizon,Battlecraft,Totonowa
Field of Beans,10,Western Thanalan,Horizon,Battlecraft,Totonowa
From Ruins to Riches,10,Western Thanalan,Horizon,Battlecraft,Totonowa
"Out of Body, Out of Mind",10,Western Thanalan,Horizon,Battlecraft,Totonowa
Reeking Havoc,10,Western Thanalan,Horizon,Battlecraft,Totonowa
Skin Deep,10,Western Thanalan,Horizon,Battlecraft,Totonowa
What Peistes Crave,10,Western Thanalan,Horizon,Battlecraft,Totonowa
You Cannot Kill the Metal,10,Western Thanalan,Horizon,Battlecraft,Totonowa
A Shroom with a View,10,Central Shroud,Bentbranch Meadows,Battlecraft,Tierney
Bump in the Night,10,Central Shroud,Bentbranch Meadows,Battlecraft,Tierney
Going Green,10,Central Shroud,Bentbranch Meadows,Battlecraft,Tierney
Infestation Cessation,10,Central Shroud,Bentbranch Meadows,Battlecraft,Tierney
Scent of a Roselet,10,Central Shroud,Bentbranch Meadows,Battlecraft,Tierney
Too Close to Home,10,Central Shroud,Bentbranch Meadows,Battlecraft,Tierney
Turning Out the Blight,10,Central Shroud,Bentbranch Meadows,Battlecraft,Tierney
Wail of a Tale,10,Central Shroud,Bentbranch Meadows,Battlecraft,Tierney
A Glamourous Life,15,Western La Noscea,Aleport,Battlecraft,Orwen
Barley Legal,15,Western La Noscea,Aleport,Battlecraft,Orwen
Beasts of Bourbon,15,Western La Noscea,Aleport,Battlecraft,Orwen
Field Testing,15,Western La Noscea,Aleport,Battlecraft,Orwen
First to Reave,15,Western La Noscea,Aleport,Battlecraft,Orwen
Sucked Dry,15,Western La Noscea,Aleport,Battlecraft,Orwen
Tail in Tow,15,Western La Noscea,Aleport,Battlecraft,Orwen
A Simple Solution,15,Eastern Thanalan,Camp Drybone,Battlecraft,Poponagu
Death with Indignity,15,Eastern Thanalan,Camp Drybone,Battlecraft,Poponagu
Earthbound,15,Eastern Thanalan,Camp Drybone,Battlecraft,Poponagu
Going for Goat,15,Eastern Thanalan,Camp Drybone,Battlecraft,Poponagu
The Enterprise of Undeath,15,Eastern Thanalan,Camp Drybone,Battlecraft,Poponagu
The Law Won,15,Eastern Thanalan,Camp Drybone,Battlecraft,Poponagu
The Missing Merchant,15,Eastern Thanalan,Camp Drybone,Battlecraft,Poponagu
A Guest for Supper,15,East Shroud,The Hawthorne Hut,Battlecraft,Qina Lyehga
Can't Say No to Gnat,15,East Shroud,The Hawthorne Hut,Battlecraft,Qina Lyehga
Monkey Business,15,East Shroud,The Hawthorne Hut,Battlecraft,Qina Lyehga
"Ochus Bite, Leaves Bleed",15,East Shroud,The Hawthorne Hut,Battlecraft,Qina Lyehga
Something in the Mead,15,East Shroud,The Hawthorne Hut,Battlecraft,Qina Lyehga
Stew for Two,15,East Shroud,The Hawthorne Hut,Battlecraft,Qina Lyehga
The Transporter,15,East Shroud,The Hawthorne Hut,Battlecraft,Qina Lyehga
Another Egg Gone,20,Lower La Noscea,Moraby Drydocks,Battlecraft,Ourawann
Claw-struck,20,Lower La Noscea,Moraby Drydocks,Battlecraft,Ourawann
Man the Ore,20,Lower La Noscea,Moraby Drydocks,Battlecraft,Ourawann
Strand by Me,20,Lower La Noscea,Moraby Drydocks,Battlecraft,Ourawann
The Deathliest Catch,20,Lower La Noscea,Moraby Drydocks,Battlecraft,Ourawann
The Light Stripes,20,Lower La Noscea,Moraby Drydocks,Battlecraft,Ourawann
Belly Up,20,South Shroud,Quarrymill,Battlecraft,Nyell
It's a Trap,20,South Shroud,Quarrymill,Battlecraft,Nyell
It's Hard Being Moogle,20,South Shroud,Quarrymill,Battlecraft,Nyell
Killing Beasts Softly,20,South Shroud,Quarrymill,Battlecraft,Nyell
No Leaves Left Behind,20,South Shroud,Quarrymill,Battlecraft,Nyell
The Root of the Problem,20,South Shroud,Quarrymill,Battlecraft,Nyell
Treevenge,20,South Shroud,Quarrymill,Battlecraft,Nyell
What's Yours Is Mine,20,South Shroud,Quarrymill,Battlecraft,Nyell
Dead Men Lie,25,Southern Thanalan,Little Ala Mhigo,Battlecraft,Esmond
Drakes' Misfortune,25,Southern Thanalan,Little Ala Mhigo,Battlecraft,Esmond
Flower Power,25,Southern Thanalan,Little Ala Mhigo,Battlecraft,Esmond
Necrologos: Fluid Corruption,25,Southern Thanalan,Little Ala Mhigo,Battlecraft,Esmond
Necrologos: The Noctambulist,25,Southern Thanalan,Little Ala Mhigo,Battlecraft,Esmond
"Run, Run Away",25,Southern Thanalan,Little Ala Mhigo,Battlecraft,Esmond
More than Meets the Eye,25,South Shroud,Quarrymill,Battlecraft,Nyell
Necrologos: Olidious Separation,25,South Shroud,Quarrymill,Battlecraft,Nyell
Necrologos: The Beholders,25,South Shroud,Quarrymill,Battlecraft,Nyell
Refugee Raw,25,South Shroud,Quarrymill,Battlecraft,Nyell
Revisiting Raimdelle,25,South Shroud,Quarrymill,Battlecraft,Nyell
Rope a 'Lope,25,South Shroud,Quarrymill,Battlecraft,Nyell
Up the Creek,25,South Shroud,Quarrymill,Battlecraft,Nyell
Birds of a Feather,30,Eastern La Noscea,Costa del Sol,Battlecraft,Nahctahr
Call Me Mating,30,Eastern La Noscea,Costa del Sol,Battlecraft,Nahctahr
Clearing Steer,30,Eastern La Noscea,Costa del Sol,Battlecraft,Nahctahr
Necrologos: Igneous Toil,30,Eastern La Noscea,Costa del Sol,Battlecraft,Nahctahr
Out to Sea,30,Eastern La Noscea,Costa del Sol,Battlecraft,Nahctahr
Sol Survivors,30,Eastern La Noscea,Costa del Sol,Battlecraft,Nahctahr
Under Foot,30,Eastern La Noscea,Costa del Sol,Battlecraft,Nahctahr
A Feast in the Forest,30,South Shroud,Camp Tranquil,Battlecraft,Merthelin
Adamantoise Tears,30,South Shroud,Camp Tranquil,Battlecraft,Merthelin
Black Market Down,30,South Shroud,Camp Tranquil,Battlecraft,Merthelin
Necrologos: Brand of the Impure,30,South Shroud,Camp Tranquil,Battlecraft,Merthelin
Where the Fur's At,30,South Shroud,Camp Tranquil,Battlecraft,Merthelin
Woodcross Busydeal,30,South Shroud,Camp Tranquil,Battlecraft,Merthelin
Cower to the People,35,Coerthas Central Highlands,Observatorium,Battlecraft,Cimeaurant
Have a Nice Trip,35,Coerthas Central Highlands,Observatorium,Battlecraft,Cimeaurant
Little Lost Lamb,35,Coerthas Central Highlands,Observatorium,Battlecraft,Cimeaurant
Meat and Bleat,35,Coerthas Central Highlands,Observatorium,Battlecraft,Cimeaurant
Necrologos: Cinerary Rite,35,Coerthas Central Highlands,Observatorium,Battlecraft,Cimeaurant
Now We're Even,35,Coerthas Central Highlands,Observatorium,Battlecraft,Cimeaurant
Saving Bessy,35,Coerthas Central Highlands,Observatorium,Battlecraft,Cimeaurant
Appetite for Abduction,35,Eastern La Noscea,Wineport,Battlecraft,Aileen
Bud Bait,35,Eastern La Noscea,Wineport,Battlecraft,Aileen
Coeurl Scratch Fever,35,Eastern La Noscea,Wineport,Battlecraft,Aileen
Necrologos: Igneous Moil,35,Eastern La Noscea,Wineport,Battlecraft,Aileen
Walk Like a Mandragora,35,Eastern La Noscea,Wineport,Battlecraft,Aileen
Wonder Wine,35,Eastern La Noscea,Wineport,Battlecraft,Aileen
Got a Gut Feeling about This,40,Coerthas Central Highlands,Whitebrim Front,Battlecraft,Voilinaut
Necrologos: Whispers of the Gem,40,Coerthas Central Highlands,Whitebrim Front,Battlecraft,Voilinaut
Pets Are Family Too,40,Coerthas Central Highlands,Whitebrim Front,Battlecraft,Voilinaut
The Area's a Bit Sketchy,40,Coerthas Central Highlands,Whitebrim Front,Battlecraft,Voilinaut
The Tropes of the Trade,40,Coerthas Central Highlands,Whitebrim Front,Battlecraft,Voilinaut
We Can Dismember It for You Wholesale,40,Coerthas Central Highlands,Whitebrim Front,Battlecraft,Voilinaut
You Look Good Enough to Eat,40,Coerthas Central Highlands,Whitebrim Front,Battlecraft,Voilinaut
Blow-up Incubator,40,Northern Thanalan,Camp Bluefog,Battlecraft,Rurubana
Circling the Ceruleum,40,Northern Thanalan,Camp Bluefog,Battlecraft,Rurubana
Don't Forget to Cry,40,Northern Thanalan,Camp Bluefog,Battlecraft,Rurubana
Necrologos: Pale Oblation,40,Northern Thanalan,Camp Bluefog,Battlecraft,Rurubana
Someone's in the Doghouse,40,Northern Thanalan,Camp Bluefog,Battlecraft,Rurubana
Subduing the Subprime,40,Northern Thanalan,Camp Bluefog,Battlecraft,Rurubana
A Toad Less Taken,45,Mor Dhona,Saint Coinach's Find,Battlecraft,K'leytai
"Big, Bad Idea",45,Mor Dhona,Saint Coinach's Find,Battlecraft,K'leytai
Necrologos: The Liminal Ones,45,Mor Dhona,Saint Coinach's Find,Battlecraft,K'leytai
One of Our Naturalists Is Missing,45,Mor Dhona,Saint Coinach's Find,Battlecraft,K'leytai
Put Your Stomp on It,45,Mor Dhona,Saint Coinach's Find,Battlecraft,K'leytai
Turnabout's Fair Play,45,Mor Dhona,Saint Coinach's Find,Battlecraft,K'leytai
"Don't Come Back
",50,Coerthas Western Highlands,Falcon's Nest,Battlecraft,Eloin
Necrologos: Of Sallow Vizards,50,Coerthas Western Highlands,Falcon's Nest,Battlecraft,Eloin
The Unexpected Tourist,50,Coerthas Western Highlands,Falcon's Nest,Battlecraft,Eloin
Feathers Unsullied,52,The Dravanian Forelands,Tailfeather,Battlecraft,Eloin
Jailbird Break,52,The Dravanian Forelands,Tailfeather,Battlecraft,Eloin
Quit Loafing Around,52,The Dravanian Forelands,Tailfeather,Battlecraft,Eloin
Cry Home,54,The Churning Mists,Moghome,Battlecraft,Eloin
"Puppet Show
",54,The Churning Mists,Moghome,Battlecraft,Eloin
Show Your Work,54,The Churning Mists,Moghome,Battlecraft,Eloin
Don't Eat the Shrooms,56,The Sea of Clouds,Camp Cloudtop,Battlecraft,Eloin
"Marl-ementary Procedure
",56,The Sea of Clouds,Camp Cloudtop,Battlecraft,Eloin
"Two Birds, One Culling
",56,The Sea of Clouds,Camp Cloudtop,Battlecraft,Eloin
"Dance, Magic Dance",58,The Dravanian Hinterlands,The Paths of Creation,Battlecraft,Eloin
Necrologos: His Treasure Forhelen,58,The Dravanian Hinterlands,The Paths of Creation,Battlecraft,Eloin
"Wihither the Morbol Goeth
",58,The Dravanian Hinterlands,The Paths of Creation,Battlecraft,Eloin
Necrologos: Of Sallow Vizards (L),50,Coerthas Western Highlands,Falcon's Nest,Battlecraft (Large-scale),Eloin
The Second Coming of Yak,50,Coerthas Western Highlands,Falcon's Nest,Battlecraft (Large-scale),Eloin
We're So Above This,50,Coerthas Western Highlands,Falcon's Nest,Battlecraft (Large-scale),Eloin
Last Priest Profaned,52,The Dravanian Forelands,Tailfeather,Battlecraft (Large-scale),Eloin
Return to Sender,52,The Dravanian Forelands,Tailfeather,Battlecraft (Large-scale),Eloin
"Scavenger Hunt ",52,The Dravanian Forelands,Tailfeather,Battlecraft (Large-scale),Eloin
Family Comes First,54,The Churning Mists,Moghome,Battlecraft (Large-scale),Eloin
"Hello, Cousin",54,The Churning Mists,Moghome,Battlecraft (Large-scale),Eloin
More Than One Way,54,The Churning Mists,Moghome,Battlecraft (Large-scale),Eloin
Just Washed,56,The Sea of Clouds,Camp Cloudtop,Battlecraft (Large-scale),Eloin
Needs More Fervor,56,The Sea of Clouds,Camp Cloudtop,Battlecraft (Large-scale),Eloin
"Nobody Can Farm Marl, but Marl",56,The Sea of Clouds,Camp Cloudtop,Battlecraft (Large-scale),Eloin
Bareback Riding,58,The Dravanian Hinterlands,The Paths of Creation,Battlecraft (Large-scale),Eloin
Goblin Up Sharlayan,58,The Dravanian Hinterlands,The Paths of Creation,Battlecraft (Large-scale),Eloin
"Necrologos: His Treasure Forhelen (L)
",58,The Dravanian Hinterlands,The Paths of Creation,Battlecraft (Large-scale),Eloin
A Cold-blooded Business,20,Eastern Thanalan,Camp Drybone,Flames,Kikiri
Blood in the Water,20,Eastern Thanalan,Camp Drybone,Flames,Kikiri
The Burning Reason,20,Eastern Thanalan,Camp Drybone,Flames,Kikiri
Watch Me If You Can,20,Eastern Thanalan,Camp Drybone,Flames,Kikiri
A Heart Aflame,25,Eastern Thanalan,Camp Drybone,Flames,Kikiri
Don't Tear Down This Wall,25,Eastern Thanalan,Camp Drybone,Flames,Kikiri
Food for Thought,25,Eastern Thanalan,Camp Drybone,Flames,Kikiri
The Third Prize Is that You're Slain,25,Eastern Thanalan,Camp Drybone,Flames,Kikiri
And Then There Were None,30,Southern Thanalan,Little Ala Mhigo,Flames,Blue Herring
Bridges of Qiqirn Country,30,Southern Thanalan,Little Ala Mhigo,Flames,Blue Herring
Grapevine of Wrath,30,Southern Thanalan,Little Ala Mhigo,Flames,Blue Herring
The Cost of Living,30,Southern Thanalan,Little Ala Mhigo,Flames,Blue Herring
Dress for Aggress,35,Coerthas Central Highlands,Observatorium,Flames,Haisie
Pick Your Poison,35,Coerthas Central Highlands,Observatorium,Flames,Haisie
The Baddest Brigade in Town,35,Coerthas Central Highlands,Observatorium,Flames,Haisie
If You Put It That Way,40,Coerthas Central Highlands,Whitebrim Front,Flames,Lodille
No Big Whoop,40,Coerthas Central Highlands,Whitebrim Front,Flames,Lodille
You Dropped Something,40,Coerthas Central Highlands,Whitebrim Front,Flames,Lodille
Science Shindig,45,Mor Dhona,Saint Coinach's Find,Flames,Eidhart
The Museum Is Closed,45,Mor Dhona,Saint Coinach's Find,Flames,Eidhart
Who Writes History,45,Mor Dhona,Saint Coinach's Find,Flames,Eidhart
Don't Touch Our Stuff,20,Lower La Noscea,Moraby Drydocks,Maelstrom,Eugene
The Creeps from Work,20,Lower La Noscea,Moraby Drydocks,Maelstrom,Eugene
Throw the Book at Him,20,Lower La Noscea,Moraby Drydocks,Maelstrom,Eugene
"Victory Is Mine, Not Yours",20,Lower La Noscea,Moraby Drydocks,Maelstrom,Eugene
Double Dose of Impin',25,Lower La Noscea,Moraby Drydocks,Maelstrom,Eugene
Of Mice and Demons,25,Lower La Noscea,Moraby Drydocks,Maelstrom,Eugene
Wrong and Rite,25,Lower La Noscea,Moraby Drydocks,Maelstrom,Eugene
"You're a Liar, Mansel Black",25,Lower La Noscea,Moraby Drydocks,Maelstrom,Eugene
It's Better (for You) Under the Sea,30,Eastern La Noscea,Costa del Sol,Maelstrom,C'lafumyn
Road Worriers,30,Eastern La Noscea,Costa del Sol,Maelstrom,C'lafumyn
Twenty-nine Was the Cutoff,30,Eastern La Noscea,Costa del Sol,Maelstrom,C'lafumyn
You Are NOT a Pirate,30,Eastern La Noscea,Costa del Sol,Maelstrom,C'lafumyn
Fanning the Flames,35,Coerthas Central Highlands,Observatorium,Maelstrom,Haisie
Fishing Off the Company Pier,35,Coerthas Central Highlands,Observatorium,Maelstrom,Haisie
Mad about You,35,Coerthas Central Highlands,Observatorium,Maelstrom,Haisie
An Imp Mobile,40,Coerthas Central Highlands,Whitebrim Front,Maelstrom,Lodille
Papal Dispensation,40,Coerthas Central Highlands,Whitebrim Front,Maelstrom,Lodille
Someone's Got a Big Mouth,40,Coerthas Central Highlands,Whitebrim Front,Maelstrom,Lodille
Go Home to Mama,45,Mor Dhona,Saint Coinach's Find,Maelstrom,Eidhart
Kill the Messenger,45,Mor Dhona,Saint Coinach's Find,Maelstrom,Eidhart
One Big Problem Solved,45,Mor Dhona,Saint Coinach's Find,Maelstrom,Eidhart
A Little Constructive Exorcism,20,East Shroud,The Hawthorne Hut,Twin Adder,Cedrepierre
Burn It Down,20,East Shroud,The Hawthorne Hut,Twin Adder,Cedrepierre
Mortal Munchies,20,East Shroud,The Hawthorne Hut,Twin Adder,Cedrepierre
She's So Mean,20,East Shroud,The Hawthorne Hut,Twin Adder,Cedrepierre
A Real Wingnut,25,East Shroud,The Hawthorne Hut,Twin Adder,Cedrepierre
Blinded by the Wight,25,East Shroud,The Hawthorne Hut,Twin Adder,Cedrepierre
Go with the Flow,25,East Shroud,The Hawthorne Hut,Twin Adder,Cedrepierre
Sylph Strands,25,East Shroud,The Hawthorne Hut,Twin Adder,Cedrepierre
Creature Feature,30,South Shroud,Camp Tranquil,Twin Adder,H'amneko
Dead Man Walking,30,South Shroud,Camp Tranquil,Twin Adder,H'amneko
It Goes with the Territory,30,South Shroud,Camp Tranquil,Twin Adder,H'amneko
"This Is Going to Sting, A Lot",30,South Shroud,Camp Tranquil,Twin Adder,H'amneko
Feathered Foes,35,Coerthas Central Highlands,Observatorium,Twin Adder,Haisie
Just Making an Observation,35,Coerthas Central Highlands,Observatorium,Twin Adder,Haisie
Roast Lamb with Mint and Hellfire,35,Coerthas Central Highlands,Observatorium,Twin Adder,Haisie
Talk to My Voidsent,40,Coerthas Central Highlands,Whitebrim Front,Twin Adder,Lodille
The Bloodhounds of Coerthas,40,Coerthas Central Highlands,Whitebrim Front,Twin Adder,Lodille
Yellow Is The New Black,40,Coerthas Central Highlands,Whitebrim Front,Twin Adder,Lodille
Amateur Hour,45,Mor Dhona,Saint Coinach's Find,Twin Adder,Eidhart
Get Off Our Lake,45,Mor Dhona,Saint Coinach's Find,Twin Adder,Eidhart
The Awry Salvages,45,Mor Dhona,Saint Coinach's Find,Twin Adder,Eidhart
