Number,Name,Method
40,Darling Dalliances,"Bought from Kasumi at the Gold Saucer for 5,000 Gil."
41,Fragments of Forever,"Bought from Housing Merchant in Residential Districts for 5,000 Gil."
42,Revenge Twofold,"Bought from the Gold Saucer Attendant <Prize Claim> at the Gold Saucer for 50,000 MGP."
43,Triumph,"Bought from the Gold Saucer Attendant <Prize Claim> at the Gold Saucer for 50,000 MGP."
44,Prelude - Long March Home,Add 200 unique music rolls to your orchestrion.
45,Wicked Winds Whisper,Chance of dropping when opening Anemos lockboxes obtained from FATEs in Eureka Anemos.
46,No Quarter,Chance of dropping when opening Anemos lockboxes obtained from FATEs in Eureka Anemos.
47,Ambient Wind Chime,Purchased from Housing/Apartment merchant
48,Ambient Abyss,Acquired from The Mystic Basin
49,Victory or Death,Purchased from Junkmonger
50,Far East of Eorzea,Exchange in Crick
51,Parting Ways,Obtained from a piece of the Accursed Horn in Heaven-on-High
52,Cornerstone of the New World - Astera,Exchange in Kugane
53,Ending,Post Alphascape 4.0 Quest
54,A Dream in Flight,Post Alphascape 4.0 Quest
55,Rise of Heroes (Chiptune Version),MGP Exchange at the Golden Saucer
56,Game Theory,MGP Exchange at the Golden Saucer
57,Doman Distractions,"Complete Achievement ""Tile and Error I"""
58,Gates of Paradise,"Acquired from The Forbidden Land, Eureka Hydatos"
59,Onslaught,"Acquired from The Forbidden Land, Eureka Hydatos"
60,Turmoil,Acquired from The Baldesion Arsenal
61,Shadowbringers,Level 70 Main Quest The Syrcus Trench
62,Tomorrow and Tomorrow,Level 80 Main Quest Shadowbringers
63,Rencounter,Exchange in Crystarium or Eulmore
64,Insatiable,Drops from Dungeons of Lyhe Ghiah
65,A Fierce Air Forceth,"Bought from the Wolves' Den Provisioner at Wolves' Den Pier for 10,000 Wolf Marks."
66,A Fine Air Forbiddeth,"Bought from the Wolves' Den Provisioner at Wolves' Den Pier for 10,000 Wolf Marks."
67,Nail of the Heavens,Bought from Maudlin Latool Ja in Ul'dah for 500 Allied Seals (Requires Level 60 BLU)
68,Imperium,Bought from Maudlin Latool Ja in Ul'dah for 500 Allied Seals (Requires Level 60 BLU)
