Level,Name,Zone,Location
50★★,Raw Ruby,Lower La Noscea,Moraby Bay
50★★,Raw Diamond,Central Thanalan,Lost Hope
50★★,Raw Emerald,Central Thanalan,Lost Hope
50★★,Raw Topaz,Northern Thanalan,Raubahn's Push
50★★,Raw Iolite,Northern Thanalan,Raubahn's Push
50★★,Raw Sapphire,Lower La Noscea,Moraby Bay
50★★,Native Gold,Central Thanalan,Lost Hope
50★★,Dark Matter Cluster,Eastern Thanalan,Burgundy Falls
50★★★,Yellow Copper Ore,Coerthas Western Highlands,Riversmeet
50★★★,Platinum Ore,Southern Thanalan,Broken Water
50★★★,Dragon Obsidian,Coerthas Western Highlands,Riversmeet
50★★★,Virgin Basilisk Egg,Northern Thanalan,Bluefog
51,Pyrite,The Dravanian Forelands,Chocobo Forest
51,Raw Agate,The Dravanian Forelands,The Smoldering Wastes
52,Raw Tiger's Eye,The Dravanian Forelands,The Smoldering Wastes
53,Mythrite Ore,Coerthas Western Highlands,Gorgagne Holding
53,Chalcocite,The Dravanian Forelands,Chocobo Forest
53,Raw Larimar,Coerthas Western Highlands,Gorgagne Holding
54,Limonite,The Dravanian Forelands,Chocobo Forest
54,Raw Mormorion,Coerthas Western Highlands,Gorgagne Holding
54,Dravanian Spring Warer,The Dravanian Forelands,The Smoldering Wastes
55,Titanium Ore,The Dravanian Forelands,Chocobo Forest
55,Raw Star Ruby,The Dravanian Forelands,Chocobo Forest
55,Raw Star Sapphire,The Dravanian Forelands,Chocobo Forest
57,Light Kidney Ore,The Dravanian Hinterlands,The Makers' Quarter
57,Raw Opal,The Dravanian Forelands,Avalonia Fallen
57,Abalathian Spring Water,The Sea of Clouds,Voor Sian Siran
57,Dated Radz-At-Han Coin,The Dravanian Hinterlands,The Makers' Quarter
58,Hardsilver Ore,The Dravanian Hinterlands,The Makers' Quarter
58,Raw Carnelian,The Dravanian Forelands,Avalonia Fallen
58,Ice Stalagmite,Coerthas Western Highlands,Red Rim
59,Cuprite,The Dravanian Hinterlands,The Makers' Quarter
59,Raw Citrine,Coerthas Western Highlands,Red Rim
59,Aurum Regis Sand,The Sea of Clouds,Voor Sian Siran
60,Adamantite Ore,Azys Lla,Alpha Quadrant
60,Wyrm Obsidian,The Dravanian Hinterlands,The Makers' Quarter
60,Raw Chrysolite,The Dravanian Hinterlands,The Makers' Quarter
60,Eventide Jade,The Dravanian Forelands,Avalonia Fallen
60,Glass Eye,The Sea of Clouds,Voor Sian Siran
60,Starcrack Sand,The Fringes,East End
60,Shishu Koban,The Ruby Sea,The Crab Pots
60,Cotter Dynasty Relic,The Fringes,East End
60★,Beastkin Horn,The Dravanian Forelands,Avalonia Fallen
60★,Rainbow Pigment,The Dravanian Forelands,Avalonia Fallen
60★,Peaks Pigment,The Peaks,Sleeping Stones
60★,Yellow Kudzu Root,The Peaks,Sleeping Stones
60★★,Raw Triphane,The Fringes,East End
60★★,Gyr Abanian Alumen,The Fringes,East End
61,Gyr Abanian Mineral Water,The Fringes,The Striped Hills
62,Raw Kyanite,The Fringes,The Striped Hills
62,Harpoon Head,The Fringes,The Striped Hills
63,Koppranickel Ore,The Ruby Sea,Sakazuki
63,Raw Star Spinel,The Ruby Sea,Ten-Thousand-Year Pine
63,Phial of Thermal Fluid,Coerthas Western Highlands,The Bed of Bones
64,Crescent Spring Water,Yanxia,The Gensui Chain
64,Sparkstone,The Ruby Sea,Hell's Lid
65,Doman Iron Ore,Yanxia,The Gensui Chain
65,Malleable Still Material,Yanxia,The Gensui Chain
66,Schorl,The Azim Steppe,Onsal Hakair
66,Raw Azurite,The Azim Steppe,The Towering Still
68,Durium Ore,Yanxia,Unseen Spirits Laughing
68,Raw Imperial Jade,Yanxia,Valley of the Fallen Rainbow
68,Hard Place Furnishing Materials,The Lochs,The High Bank
70,Molybdenum Ore,The Lochs,The High Bank
70,Raw Rhodonite,The Peaks,Rustrock
70,Sturdy Vat Material,Yanxia,Unseen Spirits Laughing
70,Clinquant Stones,Il Mheg,Thysm Lran
70★,Almandine,The Lochs,The High Bank
70★★,Raw Hematite,Kholusia,Governor's Row
70★★,Yanxian Soil,Yanxia,Unseen Spirits Laughing
72,Truegold Ore,Il Mheg,The Bookman's Shelves
72,Raw Diaspore,Il Mheg,Sextuplet Shallow
73,Highland Spring Water,Il Mheg,The Bookman's Shelves
73,Animal Droppings,Lakeland,Weed
74,Raw Lazurite,The Rak'tika Greatwood,Cleric
74,Bluespirit Ore,Lakeland,Weed
75,Megafauna Leftovers,Il Mheg,The Bookman's Shelves
76,Raw Triplite,Amh Araeng,Ladle
76,Gale Rock,The Rak'tika Greatwood,The Wild Fete
76,Solarite,Lakeland,The Church of the First Light
76,Extra Effervescent Water,The Rak'tika Greatwood,The Wild Fete
77,Titancopper Ore,Lakeland,The Church of the First Light
78,Raw Petalife,Lakeland,Weed
78,Underground Spring Water,Lakeland,The Church of the First Light
78,Megafauna Trace,The Rak'tika Greatwood,The Wild Fete
80,Dimythrite Ore,Lakeland,The Church of the First Light
80,Raw Onyx,The Tempest,The Caliban Gorge
60★★★,Tungstite,Coerthas Western Highlands,Dragonspit
60★,Aurum Regis Ore,The Churning Mists,Mother of the Sheave
60★,Lumythrite Ore,The Churning Mists,Sothton Walls
60★,Red Alumen,Azys Lla,Habisphere Control
60★,Smithsonite Ore,The Sea of Clouds,Hengr's Crucible
60★,Meteorite,The Sea of Clouds,Hengr's Crucible
60★★★,Luminium Ore,Azys Lla,Hyperstellar Downconverter
70★,Chromite Ore,The Peaks,Wightrock
70★,Gyr Abanian Spring Water,The Peaks,Wightrock
70★★★,Gyr Abanian Ore,The Fringes,Virdjala
70★★★,Evergleam Ore,The Lochs,Loch Seld
70★,Palladium Ore,Yanxia,Monzen
70★★,Nightsteel Ore,The Ruby Sea,The Isle of Zekki
70★★,Silvergrace Ore,The Azim Steppe,Nhaama's Retreat
70★★,Hawk's Eye,The Ruby Sea,The Isle of Zekki
70★★,Azim Spring Water,The Azim Steppe,Nhaama's Retreat
80★,Tungsten Ore,The Tempest,Where the Dry Return
80★,Prismstone,Il Mheg,Saint Fathric's Temple
80★,Beryllium Ore,Il Mheg,Saint Fathric's Temple
5,Skybuilders' Iron Ore,Middle La Noscea,Zephyr Drift
35,Skybuilders' Electrum Ore,Upper La Noscea,Fool Falls
35,Skybuilders' Rock Salt,Upper La Noscea,Fool Falls
45,Skybuilders' Spring Water,Coerthas Central Highlands,Providence Point
55,Skybuilders' Dravanian Spring Water,The Dravanian Forelands,The Hundred Throes
60,Skybuilders' Hardsilver Ore,The Dravanian Hinterlands,The Answering Quarter
65,Skybuilders' Nightsteel Ore,The Ruby Sea,The Turquoise Trench
65,Skybuilders' Ruby Sea Spring Water,The Ruby Sea,The Turquoise Trench
70,Skybuilders' Molybdenum Ore,The Lochs,Loch Seld
70,Skybuilders' Ala Mhigan Rock Salt,The Lochs,Loch Seld
75,Skybuilders' Truegold Ore,Il Mheg,Good Jenanna's Grace
75,Skybuilders' Highland Spring Water,Il Mheg,Good Jenanna's Grace
80,Skybuilders' Reef Rock,The Tempest,Walls of the Forgotten
80,Skybuildres' Sea Salt,The Tempest,Walls of the Forgotten
