Number,Name,Method
56,Songs of Salt and Suffering,"Exchanged at a Scrip Exchange for 400 Yellow Gatherers' Scrips."
57,A Father's Pride,"Teleportation ward for the Hidden Canals of Uznair spawns after using the action Dig near the location shown on a Timeworn Thief's Map."
58,Indomitable,"Bought from the Kojin Beast Tribe for 3 Kojin sango at Rank 6."
59,Crimson Sunset,"Teleportation ward for the Hidden Canals of Uznair spawns after using the action Dig near the location shown on a Timeworn Thief's Map."
60,Westward Tide,"Bought from Enna in Rhalgr's Reach for 1,600 Tomestones of Creation."
61,Mother's Pride,"Teleportation ward for the Hidden Canals of Uznair spawns after using the action Dig near the location shown on a Timeworn Thief's Map."
62,He Rises Above,"Bought from Enna in Rhalgr's Reach for 1,600 Tomestones of Creation."
63,Keepers of the Lock,"Bought from the Ananta Beast Tribe for 3 Ananta dreamstaves at Rank 6."
64,Black and White,"Crafted by Level 60 (Master Alchemist III) with Faded Copy of Against the Wind."
65,Seven Hundred Seventy-Seven Whiskers,"Bought from Gyosho for 3 Namazu Koban."
66,Cradle,"Purchased from Junkmonger"
67,Afterglow,"Exchanged at a Scrip Exchange for 200 Yellow Crafters' Scrips."
68,Hope Forgotten,"Exchanged at a Scrip Exchange for 200 Yellow Gatherers' Scrips."
69,The Stone Remembers,"Exchanged at a Scrip Exchange for 200 Yellow Gatherers' Scrips."
70,Old Wounds,"Exchanged at a Scrip Exchange for 200 Yellow Gatherers' Scrips."
71,Harmony,"Exchanged at a Scrip Exchange for 200 Yellow Crafters' Scrips."
72,Thw Dark Which Illuminates the World,"Bought from Gramsol in the Crystarium for 350 Bicolor Gemstones."
73,Indulgence,"Bought from Pedronille in Eulmore for 350 Bicolor Gemstones."
74,The Source,"Bought from Siulmet in Lakeland for 350 Bicolor Gemstones."
75,A World Divided,"Bought from Zumutt in Kholusia for 350 Bicolor Gemstones."
76,Sands of Amber,"Bought from Halden in Amh Araeng for 350 Bicolor Gemstones."
77,Fierce and Free,"Bought from Sul Lad in Il Mheg for 350 Bicolor Gemstones."
78,Civilizations,"Bought from Nacille in The Rak'tika Greatwood for 350 Bicolor Gemstones."
79,Full Fathom Five,"Bought from Goushs Ooan in the Tempest for 350 Bicolor Gemstones."
80,Knowledge Never Sleeps,"Bought from Gramsol in the Crystarium for 350 Bicolor Gemstones."
81,Masquerade,"Bought from Pedronille in Eulmore for 350 Bicolor Gemstones."
82,Pain in Pleasure,"Reward for the quest Moving Forward."
83,"Unchanging, Everchanging","Bought from Siulmet in Lakeland for 350 Bicolor Gemstones."
84,The Quick Way,"Bought from Zumutt in Kholusia for 350 Bicolor Gemstones."
85,Sands of Blood,"Bought from Halden in Amh Araeng for 350 Bicolor Gemstones."
86,The Faerie Ring,"Bought from Sul Lad in Il Mheg for 350 Bicolor Gemstones."
87,A Hopeless Race,"Bought from Nacille in The Rak'tika Greatwood for 350 Bicolor Gemstones."
88,Neath Dark Waters,"Bought from Goushs Ooan in the Tempest for 350 Bicolor Gemstones."
89,The Garden's Gates,"Bought from Jul Oul in Il Mheg for 6 Fae Fancy."
90,Safety In Numbers,"Bought from Enie in The Firmament for 1,200 Skybuilders' Scrips"
