Level,Name,Zone,Location
60★,Crystalized Sap,The Churning Mists,Eil Tohm
60★★★,Brown Mushroom,The Churning Mists,Greensward
60★★★,Teak Log,The Dravanian Hinterlands,The Answering Quarter
60★,Honeydew Almonds,The Sea of Clouds,The Gauntlet
60★,Wattle Bark,Azys Lla,Alpha Quadrant
70★,Torreya Log,The Lochs,Stacks
70★★,Black Willow Log,The Fringes,Pike Falls
70★★,Hardened Veteran Tree Sap,The Fringer,Pike Falls
70★★★,Urunday Log,The Peaks,Sleeping Stones
80★,Sandalwood Log,The Rak'tika Greatwood,Mjrl's Regret
80★,Sandalwood Sap,The Rak'tika Greatwood,Mjrl's Regret
5,Skybuilders' Yew Log,East Shroud,The Honey Yard
35,Skybuilders' Ash Log,Central Shroud,Sorrel Haven
60,Skybuilders' Camphorwood Log,The Churning Mists,Gron Rhei
65,Skybuilders' Urunday Log,The Peaks,Gyrmm & Enid
80,Skybuilders' White Ash Log,The Rak'tika Greatwood,Bowrest
80,Skybuilders' Resin,The Rak'tika Greatwood,Bowrest
